id,stock,Nasdaq Traded,security_name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
302,AWP,Y,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,AWP,AWP,N
303,AWR,Y,American States Water Company Common Stock,N, ,N,100.0,N,,AWR,AWR,N
304,AWRE,Y,"Aware, Inc. - Common Stock",Q,G,N,100.0,N,N,,AWRE,N
305,AWX,Y,Avalon Holdings Corporation Common Stock,A, ,N,100.0,N,,AWX,AWX,N
306,AXAS,Y,Abraxas Petroleum Corporation - Common Stock,Q,S,N,100.0,N,D,,AXAS,N
307,AXDX,Y,"Accelerate Diagnostics, Inc. - Common Stock",Q,S,N,100.0,N,N,,AXDX,N
308,AXE,Y,Anixter International Inc. Common Stock,N, ,N,100.0,N,,AXE,AXE,N
309,AXGN,Y,"Axogen, Inc. - Common Stock",Q,S,N,100.0,N,N,,AXGN,N
310,AXJL,Y,WisdomTree Asia Pacific ex-Japan Total Dividend Fund,P, ,Y,100.0,N,,AXJL,AXJL,N
311,AXL,Y,"American Axle & Manufacturing Holdings, Inc. Common Stock",N, ,N,100.0,N,,AXL,AXL,N
312,AXP,Y,American Express Company Common Stock,N, ,N,100.0,N,,AXP,AXP,N
313,AXR,Y,AMREP Corporation Common Stock,N, ,N,100.0,N,,AXR,AXR,N
314,AXS,Y,Axis Capital Holdings Limited Common Stock,N, ,N,100.0,N,,AXS,AXS,N
315,AXTA,Y,Axalta Coating Systems Ltd. Common Shares,N, ,N,100.0,N,,AXTA,AXTA,N
316,AXTI,Y,AXT Inc - Common Stock,Q,Q,N,100.0,N,N,,AXTI,N
317,AXU,Y,Alexco Resource Corp Common Shares (Canada),A, ,N,100.0,N,,AXU,AXU,N
318,AYI,Y,"Acuity Brands, Inc. ",N, ,N,100.0,N,,AYI,AYI,N
319,AZN,Y,Astrazeneca PLC Common Stock,N, ,N,100.0,N,,AZN,AZN,N
320,AZO,Y,"AutoZone, Inc. Common Stock",N, ,N,100.0,N,,AZO,AZO,N
321,AZPN,Y,"Aspen Technology, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AZPN,N
322,AZZ,Y,AZZ Inc.,N, ,N,100.0,N,,AZZ,AZZ,N
323,B,Y,"Barnes Group, Inc. Common Stock",N, ,N,100.0,N,,B,B,N
324,BA,Y,Boeing Company (The) Common Stock,N, ,N,100.0,N,,BA,BA,N
325,BAB,Y,Invesco Taxable Municipal Bond ETF,P, ,Y,100.0,N,,BAB,BAB,N
326,BABA,Y,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,N, ,N,100.0,N,,BABA,BABA,N
327,BAC,Y,Bank of America Corporation Common Stock,N, ,N,100.0,N,,BAC,BAC,N
328,BAF,Y,BlackRock Municipal Income Investment Quality Trust,N, ,N,100.0,N,,BAF,BAF,N
329,BAH,Y,Booz Allen Hamilton Holding Corporation Common Stock,N, ,N,100.0,N,,BAH,BAH,N
330,BAK,Y,Braskem SA ADR,N, ,N,100.0,N,,BAK,BAK,N
331,BAL,Y,iPathA Series B Bloomberg Cotton Subindex Total Return ETN,P, ,N,100.0,N,,BAL,BAL,N
332,BAM,Y,Brookfield Asset Management Inc. Common Stock,N, ,N,100.0,N,,BAM,BAM,N
333,BANC,Y,"Banc of California, Inc. Common Stock",N, ,N,100.0,N,,BANC,BANC,N
334,BANF,Y,BancFirst Corporation - Common Stock,Q,Q,N,100.0,N,N,,BANF,N
335,BANR,Y,Banner Corporation - Common Stock,Q,Q,N,100.0,N,N,,BANR,N
336,BANX,Y,StoneCastle Financial Corp - Common Stock,Q,Q,N,100.0,N,N,,BANX,N
337,BAP,Y,Credicorp Ltd. Common Stock,N, ,N,100.0,N,,BAP,BAP,N
338,BAR,Y,GraniteShares Gold Trust Shares of Beneficial Interest,P, ,N,100.0,N,,BAR,BAR,N
339,BASI,Y,"Bioanalytical Systems, Inc. - Common Stock",Q,S,N,100.0,N,N,,BASI,N
340,BAX,Y,Baxter International Inc. Common Stock,N, ,N,100.0,N,,BAX,BAX,N
341,BBBY,Y,Bed Bath & Beyond Inc. - Common Stock,Q,Q,N,100.0,N,N,,BBBY,N
342,BBC,Y,Virtus LifeSci Biotech Clinical Trials ETF,P, ,Y,100.0,N,,BBC,BBC,N
343,BBD,Y,Banco Bradesco Sa American Depositary Shares,N, ,N,100.0,N,,BBD,BBD,N
