id,stock,Nasdaq Traded,security_name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
1200,EOT,Y,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,N, ,N,100.0,N,,EOT,EOT,N
1201,EPAM,Y,"EPAM Systems, Inc. Common Stock",N, ,N,100.0,N,,EPAM,EPAM,N
1202,EPHE,Y,iShares MSCI Philippines ETF,P, ,Y,100.0,N,,EPHE,EPHE,N
1203,EPI,Y,WisdomTree India Earnings Fund,P, ,Y,100.0,N,,EPI,EPI,N
1204,EPM,Y,"Evolution Petroleum Corporation, Inc. Common Stock",A, ,N,100.0,N,,EPM,EPM,N
1205,EPOL,Y,iShares Trust iShares MSCI Poland ETF,P, ,Y,100.0,N,,EPOL,EPOL,N
1206,EPP,Y,iShares MSCI Pacific Ex-Japan Index Fund,P, ,Y,100.0,N,,EPP,EPP,N
1207,EPR,Y,EPR Properties Common Stock,N, ,N,100.0,N,,EPR,EPR,N
1208,EPS,Y,WisdomTree U.S. LargeCap Fund,P, ,Y,100.0,N,,EPS,EPS,N
1209,EPU,Y,iShares Trust iShares MSCI Peru ETF,P, ,Y,100.0,N,,EPU,EPU,N
1210,EPV,Y,ProShares UltraShort FTSE Europe ETF,P, ,Y,100.0,N,,EPV,EPV,N
1211,EPZM,Y,"Epizyme, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EPZM,N
1212,EQAL,Y,Invesco Russell 1000 Equal Weight ETF,P, ,Y,100.0,N,,EQAL,EQAL,N
1213,EQC,Y,Equity Commonwealth Common Shares of Beneficial Interest,N, ,N,100.0,N,,EQC,EQC,N
1214,EQIX,Y,"Equinix, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EQIX,N
1215,EQM,Y,"EQM Midstream Partners, LP Common Units representing Limited Partner Interests",N, ,N,100.0,N,,EQM,EQM,N
1216,EQS,Y,"Equus Total Return, Inc. Common Stock",N, ,N,100.0,N,,EQS,EQS,N
1217,EQT,Y,EQT Corporation Common Stock,N, ,N,100.0,N,,EQT,EQT,N
1218,ERA,Y,"Era Group, Inc. Common Stock",N, ,N,100.0,N,,ERA,ERA,N
1219,ERC,Y,"Wells Fargo Multi-Sector Income Fund Common Stock, no par value",A, ,N,100.0,N,,ERC,ERC,N
1220,ERF,Y,Enerplus Corporation Common Stock,N, ,N,100.0,N,,ERF,ERF,N
1221,ERIC,Y,Ericsson - American Depositary Shares each representing 1 underlying Class B share,Q,Q,N,100.0,N,N,,ERIC,N
1222,ERIE,Y,Erie Indemnity Company - Class A Common Stock,Q,Q,N,100.0,N,N,,ERIE,N
1223,ERII,Y,"Energy Recovery, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ERII,N
1224,ERJ,Y,Embraer S.A. Common Stock,N, ,N,100.0,N,,ERJ,ERJ,N
1225,EROS,Y,Eros International PLC A Ordinary Shares,N, ,N,100.0,N,,EROS,EROS,N
1226,ERUS,Y,iShares MSCI iShares MSCI Russia ETF ,P, ,Y,100.0,N,,ERUS,ERUS,N
1227,ERX,Y,Direxion Energy Bull 2X Shares,P, ,Y,100.0,N,,ERX,ERX,N
1228,ERY,Y,Direxion Daily Energy Bear 2X Shares,P, ,Y,100.0,N,,ERY,ERY,N
1229,ESBK,Y,Elmira Savings Bank NY (The) - Common Stock,Q,S,N,100.0,N,N,,ESBK,N
1230,ESCA,Y,"Escalade, Incorporated - Common Stock",Q,G,N,100.0,N,N,,ESCA,N
1231,ESE,Y,ESCO Technologies Inc. Common Stock,N, ,N,100.0,N,,ESE,ESE,N
1232,ESEA,Y,Euroseas Ltd. - Common Stock,Q,S,N,100.0,N,N,,ESEA,N
1233,ESGR,Y,Enstar Group Limited - Ordinary Shares,Q,Q,N,100.0,N,N,,ESGR,N
1234,ESI,Y,Element Solutions Inc. Common Stock,N, ,N,100.0,N,,ESI,ESI,N
1235,ESLT,Y,Elbit Systems Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,ESLT,N
1236,ESNT,Y,Essent Group Ltd. Common Shares,N, ,N,100.0,N,,ESNT,ESNT,N
1237,ESP,Y,Espey Mfg. & Electronics Corp. Common Stock,A, ,N,100.0,N,,ESP,ESP,N
1238,ESPR,Y,"Esperion Therapeutics, Inc. - Common Stock",Q,G,N,100.0,N,N,,ESPR,N
1239,ESRT,Y,"Empire State Realty Trust, Inc. Class A Common Stock",N, ,N,100.0,N,,ESRT,ESRT,N
1240,ESS,Y,"Essex Property Trust, Inc. Common Stock",N, ,N,100.0,N,,ESS,ESS,N
1241,ESSA,Y,"ESSA Bancorp, Inc. - common stock",Q,Q,N,100.0,N,N,,ESSA,N
1242,ESTE,Y,"Earthstone Energy, Inc. Class A Common Stock",N, ,N,100.0,N,,ESTE,ESTE,N
1243,ETB,Y,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,ETB,ETB,N
1244,ETFC,Y,E*TRADE Financial Corporation - Common Stock,Q,Q,N,100.0,N,N,,ETFC,N
1245,ETG,Y,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,ETG,ETG,N
1246,ETH,Y,Ethan Allen Interiors Inc. Common Stock,N, ,N,100.0,N,,ETH,ETH,N
1247,ETM,Y,Entercom Communications Corp. Common Stock,N, ,N,100.0,N,,ETM,ETM,N
1248,ETN,Y,"Eaton Corporation, PLC Ordinary Shares",N, ,N,100.0,N,,ETN,ETN,N
1249,ETO,Y,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,N, ,N,100.0,N,,ETO,ETO,N
1250,ETR,Y,Entergy Corporation Common Stock,N, ,N,100.0,N,,ETR,ETR,N
1251,ETV,Y,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,ETV,ETV,N
1252,ETW,Y,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,ETW,ETW,N
1253,ETX,Y,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,N, ,N,100.0,N,,ETX,ETX,N
1254,ETY,Y,"Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,",N, ,N,100.0,N,,ETY,ETY,N
1255,EUDG,Y,WisdomTree Europe Quality Dividend Growth Fund,P, ,Y,100.0,N,,EUDG,EUDG,N
1256,EUFN,Y,iShares MSCI Europe Financials Sector Index Fund,Q,G,Y,100.0,N,N,,EUFN,N
1257,EUFX,Y,ProShares Short Euro,P, ,N,100.0,N,,EUFX,EUFX,N
1258,EUM,Y,ProShares Short MSCI Emerging Markets,P, ,Y,100.0,N,,EUM,EUM,N
1259,EUMV,Y,iShares Edge MSCI Min Vol Europe ETF,P, ,Y,100.0,N,,EUMV,EUMV,N
1260,EUO,Y,ProShares UltraShort Euro,P, ,Y,100.0,N,,EUO,EUO,N
1261,EURL,Y,Direxion Daily FTSE Europe Bull 3x Shares,P, ,Y,100.0,N,,EURL,EURL,N
1262,EUSA,Y,iShares MSCI USA Equal Weighted ETF,P, ,Y,100.0,N,,EUSA,EUSA,N
1263,EV,Y,Eaton Vance Corporation Common Stock,N, ,N,100.0,N,,EV,EV,N
1264,EVER,Y,"EverQuote, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,EVER,N
1265,EVF,Y,Eaton Vance Senior Income Trust Common Stock,N, ,N,100.0,N,,EVF,EVF,N
1266,EVG,Y,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,EVG,EVG,N
1267,EVGN,Y,Evogene Ltd. - Ordinary Shares,Q,G,N,100.0,N,N,,EVGN,N
1268,EVI,Y,"EVI Industries, Inc.  Common Stock",A, ,N,100.0,N,,EVI,EVI,N
1269,EVK,Y,"Ever-Glory International Group, Inc. - Common Stock",Q,G,N,100.0,N,N,,EVK,N
1270,EVM,Y,"Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",A, ,N,100.0,N,,EVM,EVM,N
1271,EVN,Y,Eaton Vance Municipal Income Trust Common Stock,N, ,N,100.0,N,,EVN,EVN,N
1272,EVOK,Y,"Evoke Pharma, Inc. - Common Stock",Q,S,N,100.0,N,N,,EVOK,N
1273,EVOL,Y,"Evolving Systems, Inc. - Common Stock",Q,S,N,100.0,N,D,,EVOL,N
1274,EVR,Y,Evercore Inc. Class A Common Stock,N, ,N,100.0,N,,EVR,EVR,N
1275,EVT,Y,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,EVT,EVT,N
1276,EVTC,Y,"Evertec, Inc. Common Stock",N, ,N,100.0,N,,EVTC,EVTC,N
1277,EVV,Y,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,A, ,N,100.0,N,,EVV,EVV,N
1278,EVX,Y,VanEck Vectors Environmental Services ETF,P, ,Y,100.0,N,,EVX,EVX,N
1279,EVY,Y,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,A, ,N,100.0,N,,EVY,EVY,N
1280,EW,Y,Edwards Lifesciences Corporation Common Stock,N, ,N,100.0,N,,EW,EW,N
1281,EWA,Y,iShares MSCI Australia Index Fund,P, ,Y,100.0,N,,EWA,EWA,N
1282,EWBC,Y,"East West Bancorp, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EWBC,N
1283,EWC,Y,iShares MSCI Canada Index Fund,P, ,Y,100.0,N,,EWC,EWC,N
1284,EWD,Y,iShares Inc iShares MSCI Sweden ETF,P, ,Y,100.0,N,,EWD,EWD,N
1285,EWG,Y,iShares MSCI Germany Index Fund,P, ,Y,100.0,N,,EWG,EWG,N
1286,EWGS,Y,Ishares MSCI Germany Small Cap ETF,Z, ,Y,100.0,N,,EWGS,EWGS,N
1287,EWH,Y,iShares MSCI Hong Kong Index Fund,P, ,Y,100.0,N,,EWH,EWH,N
1288,EWI,Y,iShares Inc iShares MSCI Italy ETF,P, ,Y,100.0,N,,EWI,EWI,N
1289,EWJ,Y,iShares MSCI Japan Index Fund,P, ,Y,100.0,N,,EWJ,EWJ,N
1290,EWK,Y,iShares Inc iShares MSCI Belgium ETF,P, ,Y,100.0,N,,EWK,EWK,N
1291,EWL,Y,iShares Inc iShares MSCI Switzerland ETF,P, ,Y,100.0,N,,EWL,EWL,N
1292,EWM,Y,iShares MSCI Malaysia Index Fund,P, ,Y,100.0,N,,EWM,EWM,N
1293,EWN,Y,iShares MSCI Netherlands Index Fund,P, ,Y,100.0,N,,EWN,EWN,N
1294,EWO,Y,iShares Inc iShares MSCI Austria ETF,P, ,Y,100.0,N,,EWO,EWO,N
1295,EWP,Y,iShares Inc iShares MSCI Spain ETF,P, ,Y,100.0,N,,EWP,EWP,N
1296,EWQ,Y,iShares MSCI France Index Fund,P, ,Y,100.0,N,,EWQ,EWQ,N
1297,EWT,Y,iShares Inc iShares MSCI Taiwan ETF,P, ,Y,100.0,N,,EWT,EWT,N
1298,EWU,Y,iShares MSCI United Kingdom ETF,P, ,Y,100.0,N,,EWU,EWU,N
1299,EWUS,Y,Ishares MSCI United Kingdom Small Cap ETF,Z, ,Y,100.0,N,,EWUS,EWUS,N
1300,EWV,Y,ProShares UltraShort MSCI Japan,P, ,Y,100.0,N,,EWV,EWV,N
1301,EWW,Y,iShares Inc iShares MSCI Mexico ETF,P, ,Y,100.0,N,,EWW,EWW,N
1302,EWY,Y,iShares Inc iShares MSCI South Korea ETF,P, ,Y,100.0,N,,EWY,EWY,N
1303,EWZ,Y,iShares Inc iShares MSCI Brazil ETF,P, ,Y,100.0,N,,EWZ,EWZ,N
1304,EXEL,Y,"Exelixis, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXEL,N
1305,EXFO,Y,EXFO Inc - Subordinate Voting Shares,Q,Q,N,100.0,N,N,,EXFO,N
1306,EXG,Y,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,EXG,EXG,N
1307,EXI,Y,iShares Global Industrials ETF,P, ,Y,100.0,N,,EXI,EXI,N
1308,EXK,Y,Endeavour Silver Corporation Ordinary Shares (Canada),N, ,N,100.0,N,,EXK,EXK,N
1309,EXLS,Y,"ExlService Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXLS,N
1310,EXP,Y,Eagle Materials Inc Common Stock,N, ,N,100.0,N,,EXP,EXP,N
1311,EXPD,Y,"Expeditors International of Washington, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXPD,N
1312,EXPE,Y,"Expedia Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXPE,N
1313,EXPO,Y,"Exponent, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXPO,N
1314,EXR,Y,Extra Space Storage Inc Common Stock,N, ,N,100.0,N,,EXR,EXR,N
1315,EXTR,Y,"Extreme Networks, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXTR,N
1316,EYES,Y,"Second Sight Medical Products, Inc. - Common Stock",Q,S,N,100.0,N,N,,EYES,N
1317,EZA,Y,iShares MSCI South Africa Index Fund,P, ,Y,100.0,N,,EZA,EZA,N
1318,EZM,Y,WisdomTree U.S. MidCap Fund,P, ,Y,100.0,N,,EZM,EZM,N
1319,EZPW,Y,"EZCORP, Inc. - Class A Non-Voting Common Stock",Q,Q,N,100.0,N,N,,EZPW,N
1320,EZU,Y,iShares MSCI Eurozone ETF,Z, ,Y,100.0,N,,EZU,EZU,N
1321,F,Y,Ford Motor Company Common Stock,N, ,N,100.0,N,,F,F,N
1322,FAB,Y,First Trust Multi Cap Value AlphaDEX Fund,Q,G,Y,100.0,N,N,,FAB,N
1323,FAF,Y,First American Corporation (New) Common Stock,N, ,N,100.0,N,,FAF,FAF,N
1324,FAM,Y,First Trust/Aberdeen Global Opportunity Income Fund First Trust/Aberdeen Global Opportunity Income Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,FAM,FAM,N
1325,FANG,Y,"Diamondback Energy, Inc. - Commmon Stock",Q,Q,N,100.0,N,N,,FANG,N
1326,FARM,Y,Farmer Brothers Company - Common Stock,Q,Q,N,100.0,N,N,,FARM,N
1327,FARO,Y,"FARO Technologies, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FARO,N
1328,FAS,Y,Direxion Financial Bull 3X Shares,P, ,Y,100.0,N,,FAS,FAS,N
1329,FAST,Y,Fastenal Company - Common Stock,Q,Q,N,100.0,N,N,,FAST,N
1330,FATE,Y,"Fate Therapeutics, Inc. - Common Stock",Q,G,N,100.0,N,N,,FATE,N
1331,FAX,Y,Aberdeen Asia-Pacific Income Fund Inc Common Stock,A, ,N,100.0,N,,FAX,FAX,N
1332,FAZ,Y,Direxion Financial Bear 3X Shares,P, ,Y,100.0,N,,FAZ,FAZ,N
1333,FB,Y,"Facebook, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,FB,N
1334,FBC,Y,"Flagstar Bancorp, Inc. Common Stock",N, ,N,100.0,N,,FBC,FBC,N
1335,FBHS,Y,"Fortune Brands Home & Security, Inc. Common Stock",N, ,N,100.0,N,,FBHS,FBHS,N
1336,FBIZ,Y,"First Business Financial Services, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FBIZ,N
1337,FBMS,Y,"The First Bancshares, Inc. - Common Stock",Q,G,N,100.0,N,N,,FBMS,N
1338,FBND,Y,Fidelity Total Bond ETF,P, ,Y,100.0,N,,FBND,FBND,N
1339,FBP,Y,First BanCorp. New Common Stock,N, ,N,100.0,N,,FBP,FBP,N
1340,FBSS,Y,"Fauquier Bankshares, Inc. - Common Stock",Q,S,N,100.0,N,N,,FBSS,N
1341,FBT,Y,First Trust Amex Biotech Index Fund,P, ,Y,100.0,N,,FBT,FBT,N
1342,FBZ,Y,First Trust Brazil AlphaDEX Fund,Q,G,Y,100.0,N,N,,FBZ,N
1343,FCA,Y,First Trust China AlphaDEX Fund,Q,G,Y,100.0,N,N,,FCA,N
1344,FCAN,Y,First Trust Canada AlphaDEX Fund,Q,G,Y,100.0,N,N,,FCAN,N
1345,FCAP,Y,"First Capital, Inc. - Common Stock",Q,S,N,100.0,N,N,,FCAP,N
1346,FCAU,Y,Fiat Chrysler Automobiles N.V. Common Shares,N, ,N,100.0,N,,FCAU,FCAU,N
1347,FCBC,Y,"First Community Bankshares, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FCBC,N
1348,FCCO,Y,First Community Corporation - Common Stock,Q,S,N,100.0,N,N,,FCCO,N
1349,FCEL,Y,"FuelCell Energy, Inc. - Common Stock",Q,G,N,100.0,N,N,,FCEL,N
1350,FCF,Y,First Commonwealth Financial Corporation Common Stock,N, ,N,100.0,N,,FCF,FCF,N
1351,FCFS,Y,"FirstCash, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FCFS,N
1352,FCG,Y,First Trust Natural Gas ETF,P, ,Y,100.0,N,,FCG,FCG,N
1353,FCN,Y,"FTI Consulting, Inc. Common Stock",N, ,N,100.0,N,,FCN,FCN,N
1354,FCNCA,Y,"First Citizens BancShares, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,FCNCA,N
1355,FCO,Y,"Aberdeen Global Income Fund, Inc. Common Stock",A, ,N,100.0,N,,FCO,FCO,N
1356,FCOM,Y,Fidelity MSCI Communication Services Index ETF,P, ,Y,100.0,N,,FCOM,FCOM,N
1357,FCOR,Y,Fidelity Corporate Bond ETF,P, ,Y,100.0,N,,FCOR,FCOR,N
1358,FCT,Y,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,N, ,N,100.0,N,,FCT,FCT,N
1359,FCX,Y,"Freeport-McMoRan, Inc. Common Stock",N, ,N,100.0,N,,FCX,FCX,N
1360,FDD,Y,First Trust Dow Jones STOXX Select Dividend 30 Index Fund,P, ,Y,100.0,N,,FDD,FDD,N
1361,FDEF,Y,First Defiance Financial Corp. - Common Stock,Q,Q,N,100.0,N,N,,FDEF,N
1362,FDIS,Y,Fidelity MSCI Consumer Discretionary Index ETF,P, ,Y,100.0,N,,FDIS,FDIS,N
1363,FDL,Y,First Trust Morningstar ETF,P, ,Y,100.0,N,,FDL,FDL,N
1364,FDM,Y,First Trust DJ Select MicroCap ETF,P, ,Y,100.0,N,,FDM,FDM,N
1365,FDN,Y,First Trust DJ Internet Index Fund,P, ,Y,100.0,N,,FDN,FDN,N
1366,FDP,Y,"Fresh Del Monte Produce, Inc. Common Stock",N, ,N,100.0,N,,FDP,FDP,N
1367,FDS,Y,FactSet Research Systems Inc. Common Stock,N, ,N,100.0,N,,FDS,FDS,N
1368,FDTS,Y,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,Q,G,Y,100.0,N,N,,FDTS,N
1369,FDUS,Y,Fidus Investment Corporation - Common Stock,Q,Q,N,100.0,N,N,,FDUS,N
1370,FDX,Y,FedEx Corporation Common Stock,N, ,N,100.0,N,,FDX,FDX,N
1371,FE,Y,FirstEnergy Corp. Common Stock,N, ,N,100.0,N,,FE,FE,N
1372,FEI,Y,First Trust MLP and Energy Income Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,FEI,FEI,N
1373,FEIM,Y,"Frequency Electronics, Inc. - Common Stock",Q,G,N,100.0,N,N,,FEIM,N
1374,FELE,Y,"Franklin Electric Co., Inc. - Common Stock",Q,Q,N,100.0,N,N,,FELE,N
1375,FEM,Y,First Trust Emerging Markets AlphaDEX Fund,Q,G,Y,100.0,N,N,,FEM,N
1376,FEMS,Y,First Trust Emerging Markets Small Cap AlphaDEX Fund,Q,G,Y,100.0,N,N,,FEMS,N
1377,FEN,Y,First Trust Energy Income and Growth Fund,A, ,N,100.0,N,,FEN,FEN,N
1378,FENG,Y,"Phoenix New Media Limited American Depositary Shares, each representing 8 Class A ordinary shares.",N, ,N,100.0,N,,FENG,FENG,N
1379,FENY,Y,Fidelity MSCI Energy Index ETF,P, ,Y,100.0,N,,FENY,FENY,N
1380,FEO,Y,First Trust/Aberdeen Emerging Opportunity Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,FEO,FEO,N
1381,FEP,Y,First Trust Europe AlphaDEX Fund,Q,G,Y,100.0,N,N,,FEP,N
1382,FET,Y,"Forum Energy Technologies, Inc. Common Stock",N, ,N,100.0,N,,FET,FET,N
1383,FEX,Y,First Trust Large Cap Core AlphaDEX Fund,Q,G,Y,100.0,N,N,,FEX,N
1384,FEYE,Y,"FireEye, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FEYE,N
1385,FEZ,Y,SPDR DJ Euro STOXX 50 Etf,P, ,Y,100.0,N,,FEZ,FEZ,N
1386,FF,Y,FutureFuel Corp.  Common shares,N, ,N,100.0,N,,FF,FF,N
1387,FFA,Y,First Trust Enhanced Equity Income Fund,N, ,N,100.0,N,,FFA,FFA,N
1388,FFBC,Y,First Financial Bancorp. - Common Stock,Q,Q,N,100.0,N,N,,FFBC,N
1389,FFC,Y,Flaherty & Crumrine Preferred and Income Securities Fund Incorporated,N, ,N,100.0,N,,FFC,FFC,N
1390,FFG,Y,"FBL Financial Group, Inc. Common Stock",N, ,N,100.0,N,,FFG,FFG,N
1391,FFHL,Y,"Fuwei Films (Holdings) Co., Ltd. - ORDINARY SHARES",Q,S,N,100.0,N,N,,FFHL,N
1392,FFIN,Y,"First Financial Bankshares, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FFIN,N
1393,FFR,Y,First Trust FTSE EPRA/NAREIT Global Real Estate Index Fund,P, ,Y,100.0,N,,FFR,FFR,N
1394,FGB,Y,First Trust Specialty Finance and Financial Opportunities Fund,N, ,N,100.0,N,,FGB,FGB,N
1395,FGEN,Y,"FibroGen, Inc - Common Stock",Q,Q,N,100.0,N,N,,FGEN,N
1396,FGM,Y,First Trust Germany AlphaDEX Fund,Q,G,Y,100.0,N,N,,FGM,N
1397,FHK,Y,First Trust Hong Kong AlphaDEX Fund,Q,G,Y,100.0,N,N,,FHK,N
1398,FHLC,Y,Fidelity MSCI Health Care Index ETF,P, ,Y,100.0,N,,FHLC,FHLC,N
1399,FHN,Y,First Horizon National Corporation Common Stock,N, ,N,100.0,N,,FHN,FHN,N
1400,FI,Y,Frank's International N.V. Common Stock,N, ,N,100.0,N,,FI,FI,N
1401,FIBK,Y,"First Interstate BancSystem, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,FIBK,N
1402,FICO,Y,Fair Isaac Corproation Common Stock,N, ,N,100.0,N,,FICO,FICO,N
1403,FIDU,Y,Fidelity MSCI Industrials Index ETF,P, ,Y,100.0,N,,FIDU,FIDU,N
1404,FIF,Y,First Trust Energy Infrastructure Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,FIF,FIF,N
1405,FILL,Y,iShares MSCI Global Energy Producers Fund,P, ,Y,100.0,N,,FILL,FILL,N
1406,FIS,Y,"Fidelity National Information Services, Inc. Common Stock",N, ,N,100.0,N,,FIS,FIS,N
1407,FISI,Y,"Financial Institutions, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FISI,N
1408,FISV,Y,"Fiserv, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FISV,N
1409,FITB,Y,Fifth Third Bancorp - Common Stock,Q,Q,N,100.0,N,N,,FITB,N
1410,FITBI,Y,Fifth Third Bancorp - Depositary Share repstg 1/1000th Ownership Interest Perp Pfd Series I,Q,Q,N,100.0,N,N,,FITBI,N
1411,FIVE,Y,"Five Below, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FIVE,N
1412,FIVN,Y,"Five9, Inc. - Common Stock",Q,G,N,100.0,N,N,,FIVN,N
1413,FIW,Y,First Trust Water ETF,P, ,Y,100.0,N,,FIW,FIW,N
1414,FIX,Y,"Comfort Systems USA, Inc. Common Stock",N, ,N,100.0,N,,FIX,FIX,N
1415,FIZZ,Y,National Beverage Corp. - Common Stock,Q,Q,N,100.0,N,N,,FIZZ,N
1416,FJP,Y,First Trust Japan AlphaDEX Fund,Q,G,Y,100.0,N,N,,FJP,N
1417,FKO,Y,First Trust South Korea AlphaDEX Fund,Q,G,Y,100.0,N,N,,FKO,N
1418,FKU,Y,First Trust United Kingdom AlphaDEX Fund,Q,G,Y,100.0,N,N,,FKU,N
1419,FL,Y,"Foot Locker, Inc.",N, ,N,100.0,N,,FL,FL,N
1420,FLAT,Y,iPath US Treasury Flattener ETN,Z, ,N,100.0,N,,FLAT,FLAT,N
1421,FLC,Y,Flaherty & Crumrine Total Return Fund Inc Common Stock,N, ,N,100.0,N,,FLC,FLC,N
1422,FLEX,Y,Flex Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,FLEX,N
1423,FLIC,Y,The First of Long Island Corporation - Common Stock,Q,S,N,100.0,N,N,,FLIC,N
1424,FLIR,Y,"FLIR Systems, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FLIR,N
1425,FLL,Y,"Full House Resorts, Inc. - Common Stock",Q,S,N,100.0,N,N,,FLL,N
1426,FLM,Y,First Trust Global Engineering and Construction ETF,P, ,Y,100.0,N,,FLM,FLM,N
1427,FLN,Y,First Trust Latin America AlphaDEX Fund,Q,G,Y,100.0,N,N,,FLN,N
1428,FLO,Y,"Flowers Foods, Inc. Common Stock",N, ,N,100.0,N,,FLO,FLO,N
1429,FLOT,Y,iShares Floating Rate Bond ETF,Z, ,Y,100.0,N,,FLOT,FLOT,N
1430,FLR,Y,Fluor Corporation Common Stock,N, ,N,100.0,N,,FLR,FLR,N
1431,FLS,Y,Flowserve Corporation Common Stock,N, ,N,100.0,N,,FLS,FLS,N
1432,FLT,Y,"FleetCor Technologies, Inc. Common Stock",N, ,N,100.0,N,,FLT,FLT,N
1433,FLTB,Y,Fidelity Limited Term Bond ETF,P, ,Y,100.0,N,,FLTB,FLTB,N
1434,FLTR,Y,VanEck Vectors Investment Grade Floating Rate ETF,P, ,Y,100.0,N,,FLTR,FLTR,N
1435,FLWS,Y,"1-800-FLOWERS.COM, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,FLWS,N
1436,FLXN,Y,"Flexion Therapeutics, Inc. - Common Stock",Q,G,N,100.0,N,N,,FLXN,N
1437,FLXS,Y,"Flexsteel Industries, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FLXS,N
1438,FLY,Y,Fly Leasing Limited,N, ,N,100.0,N,,FLY,FLY,N
1439,FM,Y,iShares MSCI Frontier 100 Fund,P, ,Y,100.0,N,,FM,FM,N
1440,FMBI,Y,"First Midwest Bancorp, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FMBI,N
1441,FMC,Y,FMC Corporation Common Stock,N, ,N,100.0,N,,FMC,FMC,N
1442,FMK,Y,First Trust Mega Cap AlphaDEX Fund,Q,G,Y,100.0,N,N,,FMK,N
1443,FMN,Y,Federated Premier Municipal Income Fund Federated Premier Municipal Income Fund,N, ,N,100.0,N,,FMN,FMN,N
1444,FMNB,Y,Farmers National Banc Corp. - Common Stock,Q,S,N,100.0,N,N,,FMNB,N
1445,FMO,Y,Fiduciary/Claymore Energy Infrastructure Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,FMO,FMO,N
1446,FMS,Y,Fresenius Medical Care AG Common Stock,N, ,N,100.0,N,,FMS,FMS,N
1447,FMX,Y,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,N, ,N,100.0,N,,FMX,FMX,N
1448,FMY,Y,First Trust Motgage Income Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,FMY,FMY,N
